size,solver,in_flight,particles,n,fps_mean,fps_std,fps_min,fps_max,us_per_step_mean,mparticle_steps_per_s,sm_mhz,power_w,temp_c,drift_max_abs
8m,v0,2,8128201,3,70.40806666666667,0.1258660134163797,70.2716,70.5196,14202.951200000001,572.2909178880667,2716.5833333333335,599.9797619047619,70.0,0
8m,v5,1,8128201,3,67.158,0.04004010489496382,67.1119,67.1841,14890.267633333331,545.873722758,2725.97816091954,600.0105632183908,70.33333333333333,0
8m,v5,2,8128201,3,67.75906666666667,0.051490031397668605,67.7176,67.8167,14758.1739,550.7593134390667,2720.458620689655,599.9743601532567,70.0,0
10m,v0,1,10144225,3,57.463,0.036750102040675234,57.4206,57.4857,17402.50766666667,582.917601175,2725.815406162465,599.9314901960784,70.0,0
10m,v0,2,10144225,3,57.95583333333334,0.05396687255468035,57.9117,58.016,17254.527066666666,587.9170133958334,2717.21512605042,599.9088851540616,70.0,0
10m,v5,1,10144225,3,55.7252,0.1365555198444927,55.5801,55.8512,17945.271833333332,565.28896697,2724.0238095238096,599.8035264550264,70.33333333333333,0
10m,v5,2,10144225,3,56.205999999999996,0.07802313759392057,56.1231,56.278,17791.71023333333,570.1663103499999,2716.358994708995,599.9229417989418,70.66666666666667,0
14m,v0,1,14160169,3,39.427533333333336,0.011229128787814294,39.4188,39.4402,25362.978000000003,558.3005352531334,2711.619607843137,599.9657764705881,70.33333333333333,0
14m,v0,2,14160169,3,39.68076666666667,0.00491663841799877,39.6751,39.6839,25201.1185,561.8863620495667,2706.0866666666666,599.9721333333333,70.33333333333333,0
14m,v5,1,14160169,3,38.0008,0.09775525561318871,37.9201,38.1095,26315.35023333333,538.0977501352,2713.7884615384614,599.9360897435898,70.33333333333333,0
14m,v5,2,14160169,3,38.25566666666666,0.018217939876213726,38.237,38.2734,26139.910099999997,541.7067052076667,2708.6858974358975,599.8751282051281,70.66666666666667,0
16m,v0,1,16184529,3,35.36173333333333,0.02639021283228376,35.3325,35.3838,28279.178499999998,572.3129986236,2719.7380952380954,599.8660714285714,70.66666666666667,0
16m,v0,2,16184529,3,35.59796666666667,0.015351330018385031,35.5852,35.615,28091.483366666667,576.1363238577001,2715.030086580087,599.9042067099567,70.0,0
16m,v5,1,16184529,3,34.1477,0.016501212076695547,34.1305,34.1634,29284.53556666667,552.6644409333,2720.942528735632,599.82,71.0,0
16m,v5,2,16184529,3,34.36196666666667,0.045054004631477414,34.3277,34.413,29101.9685,556.1322460137,2713.9580560596896,599.8565063520872,71.0,0
32m,v0,1,32251041,3,18.191599999999998,0.004676537180435325,18.1862,18.1943,54970.45603333333,586.6980374555999,2719.041001245894,599.6345200475705,70.66666666666667,0
32m,v0,2,32251041,3,18.2515,0.0014422205101856831,18.2499,18.2527,54790.00806666666,588.6298748114999,2715.4412164458035,599.6987280552725,71.0,0
32m,v5,1,32251041,3,17.6076,0.004026164427839008,17.6041,17.612,56793.65763333333,567.8634295116,2716.5566002949854,599.741886061947,71.33333333333333,0
32m,v5,2,32251041,3,17.6767,0.009364293886887452,17.6664,17.6847,56571.662066666664,570.0919764447,2714.3303571428573,599.7078273809524,70.33333333333333,0
1m_orig,v0,1,1046529,3,537.1834666666667,1.0864819802156556,535.9448,537.9752,1861.5664333333334,562.1780761872001,2807.2729044834305,600.100097465887,69.66666666666667,0
1m_orig,v0,2,1046529,3,564.6286,0.3832207066430341,564.2236,564.9855,1771.0763333333334,590.9002041294,2780.205882352941,600.0138888888888,69.66666666666667,0
1m_orig,v5,1,1046529,3,502.0374,1.057404355012772,500.8235,502.7581,1991.8894,525.3966981846,2816.1175438596492,599.4791929824561,70.0,0
1m_orig,v5,2,1046529,3,525.6028,0.5573868225927019,525.193,526.2375,1902.5788333333333,550.0585726812001,2789.6842105263154,600.3231578947369,69.66666666666667,0
