timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/23 17:34:42.636, 0, 945 MHz, 405 MHz, 39.52 W, 37, 28 %, 3179 MiB
2026/09/23 17:34:42.636, 1, 2790 MHz, 14001 MHz, 600.00 W, 69, 100 %, 396 MiB
2026/09/23 17:34:43.637, 0, 855 MHz, 405 MHz, 38.29 W, 37, 13 %, 3179 MiB
2026/09/23 17:34:43.637, 1, 2782 MHz, 14001 MHz, 600.02 W, 69, 100 %, 396 MiB
2026/09/23 17:34:44.643, 0, 900 MHz, 405 MHz, 38.73 W, 37, 8 %, 3179 MiB
2026/09/23 17:34:44.643, 1, 2790 MHz, 14001 MHz, 600.03 W, 69, 100 %, 396 MiB
2026/09/23 17:34:45.648, 0, 1050 MHz, 810 MHz, 39.88 W, 37, 7 %, 3179 MiB
2026/09/23 17:34:45.648, 1, 2782 MHz, 14001 MHz, 599.96 W, 69, 100 %, 18 MiB
2026/09/23 17:34:46.661, 0, 990 MHz, 405 MHz, 39.59 W, 37, 14 %, 3179 MiB
2026/09/23 17:34:46.661, 1, 2955 MHz, 14001 MHz, 286.20 W, 54, 0 %, 18 MiB
2026/09/23 17:34:47.669, 0, 960 MHz, 405 MHz, 40.22 W, 37, 7 %, 3179 MiB
2026/09/23 17:34:47.669, 1, 2955 MHz, 14001 MHz, 97.00 W, 53, 0 %, 395 MiB
2026/09/23 17:34:48.671, 0, 1057 MHz, 810 MHz, 40.23 W, 38, 7 %, 3179 MiB
2026/09/23 17:34:48.671, 1, 2880 MHz, 14001 MHz, 602.86 W, 67, 95 %, 395 MiB
2026/09/23 17:34:49.674, 0, 1035 MHz, 405 MHz, 40.16 W, 38, 14 %, 3179 MiB
2026/09/23 17:34:49.674, 1, 2880 MHz, 14001 MHz, 599.36 W, 67, 96 %, 395 MiB
2026/09/23 17:34:50.677, 0, 1132 MHz, 810 MHz, 41.32 W, 38, 14 %, 3179 MiB
2026/09/23 17:34:50.677, 1, 2865 MHz, 14001 MHz, 600.78 W, 69, 95 %, 395 MiB
2026/09/23 17:34:51.685, 0, 945 MHz, 405 MHz, 40.17 W, 38, 9 %, 3179 MiB
