coordinate,u_hdx4,v_hdx4,u_hdx3.5,v_hdx3.5,u_hdx3,v_hdx3,u_hdx2.5,v_hdx2.5,u_hdx2,v_hdx2
0.02500,-0.026092,0.001519,-0.026187,0.001540,-0.026274,0.001543,-0.025358,0.001600,-0.002403,0.001554
0.03000,-0.026433,0.001180,-0.026530,0.001200,-0.026628,0.001198,-0.025684,0.001253,-0.001499,0.000232
0.03500,-0.026779,0.000839,-0.026877,0.000854,-0.026984,0.000853,-0.025996,0.000919,0.000237,-0.000638
0.04000,-0.027129,0.000496,-0.027229,0.000504,-0.027341,0.000509,-0.026299,0.000595,0.001616,-0.001394
0.04500,-0.027482,0.000149,-0.027583,0.000152,-0.027701,0.000157,-0.026620,0.000264,0.001638,-0.003645
0.05000,-0.027840,-0.000200,-0.027942,-0.000204,-0.028062,-0.000202,-0.026957,-0.000066,-0.001490,-0.001815
0.05500,-0.028202,-0.000551,-0.028308,-0.000563,-0.028426,-0.000564,-0.027299,-0.000411,-0.004009,0.003185
0.06000,-0.028568,-0.000904,-0.028676,-0.000925,-0.028792,-0.000930,-0.027653,-0.000762,-0.002650,0.004912
0.06500,-0.028936,-0.001260,-0.029046,-0.001289,-0.029166,-0.001296,-0.028016,-0.001115,0.001128,0.004281
0.07000,-0.029307,-0.001620,-0.029418,-0.001655,-0.029545,-0.001662,-0.028385,-0.001453,0.009163,0.002231
0.07500,-0.029681,-0.001983,-0.029795,-0.002023,-0.029929,-0.002030,-0.028787,-0.001793,0.010489,-0.002046
0.08000,-0.030057,-0.002348,-0.030178,-0.002392,-0.030318,-0.002397,-0.029203,-0.002140,0.011954,-0.004471
0.08500,-0.030436,-0.002715,-0.030563,-0.002763,-0.030712,-0.002760,-0.029624,-0.002501,0.007938,-0.005740
0.09000,-0.030817,-0.003084,-0.030953,-0.003134,-0.031111,-0.003125,-0.030013,-0.002876,0.004807,-0.005699
0.09500,-0.031200,-0.003454,-0.031345,-0.003508,-0.031515,-0.003494,-0.030392,-0.003245,0.002568,-0.001430
0.10000,-0.031587,-0.003825,-0.031740,-0.003884,-0.031922,-0.003867,-0.030768,-0.003616,0.000391,0.003194
0.10500,-0.031975,-0.004198,-0.032135,-0.004265,-0.032324,-0.004245,-0.031142,-0.003998,-0.001016,-0.000096
0.11000,-0.032366,-0.004573,-0.032532,-0.004650,-0.032726,-0.004627,-0.031527,-0.004391,-0.001408,-0.005862
0.11500,-0.032759,-0.004953,-0.032931,-0.005039,-0.033129,-0.005007,-0.031917,-0.004770,-0.001152,-0.016038
