timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/24 16:06:15.294, 1, 1065 MHz, 7001 MHz, 85.34 W, 52, 0 %, 18 MiB
2026/09/24 16:06:16.301, 0, 50 MHz, 405 MHz, 31.31 W, 51, 1 %, 3216 MiB
2026/09/24 16:06:16.301, 1, 375 MHz, 7001 MHz, 61.15 W, 51, 0 %, 18 MiB
2026/09/24 16:06:17.309, 0, 45 MHz, 405 MHz, 27.04 W, 51, 1 %, 3214 MiB
2026/09/24 16:06:17.309, 1, 240 MHz, 7001 MHz, 37.48 W, 51, 0 %, 18 MiB
2026/09/24 16:06:18.315, 0, 390 MHz, 405 MHz, 26.54 W, 51, 1 %, 3213 MiB
2026/09/24 16:06:18.315, 1, 225 MHz, 7001 MHz, 37.26 W, 50, 0 %, 18 MiB
2026/09/24 16:06:19.318, 0, 360 MHz, 405 MHz, 26.77 W, 51, 1 %, 3213 MiB
2026/09/24 16:06:19.318, 1, 225 MHz, 7001 MHz, 36.88 W, 50, 0 %, 18 MiB
2026/09/24 16:06:20.322, 0, 375 MHz, 405 MHz, 29.09 W, 51, 1 %, 3213 MiB
2026/09/24 16:06:20.322, 1, 225 MHz, 810 MHz, 35.32 W, 49, 0 %, 18 MiB
2026/09/24 16:06:21.328, 0, 45 MHz, 405 MHz, 28.60 W, 51, 1 %, 3213 MiB
2026/09/24 16:06:21.328, 1, 2257 MHz, 14001 MHz, 28.71 W, 49, 0 %, 2757 MiB
2026/09/24 16:06:22.336, 0, 43 MHz, 405 MHz, 25.64 W, 51, 1 %, 3213 MiB
2026/09/24 16:06:22.336, 1, 2572 MHz, 14001 MHz, 67.90 W, 49, 0 %, 2757 MiB
2026/09/24 16:06:23.340, 0, 45 MHz, 405 MHz, 24.62 W, 51, 1 %, 3213 MiB
2026/09/24 16:06:23.340, 1, 2632 MHz, 14001 MHz, 70.51 W, 50, 30 %, 2757 MiB
2026/09/24 16:06:24.343, 0, 450 MHz, 405 MHz, 24.91 W, 51, 2 %, 3213 MiB
2026/09/24 16:06:24.343, 1, 2730 MHz, 14001 MHz, 604.27 W, 65, 100 %, 2757 MiB
2026/09/24 16:06:25.347, 0, 360 MHz, 405 MHz, 28.46 W, 51, 1 %, 3212 MiB
2026/09/24 16:06:25.347, 1, 2730 MHz, 14001 MHz, 600.10 W, 66, 100 %, 2757 MiB
2026/09/24 16:06:26.351, 0, 39 MHz, 405 MHz, 29.92 W, 51, 1 %, 3212 MiB
2026/09/24 16:06:26.351, 1, 2722 MHz, 14001 MHz, 600.02 W, 66, 100 %, 2757 MiB
2026/09/24 16:06:27.355, 0, 345 MHz, 405 MHz, 24.91 W, 51, 1 %, 3212 MiB
2026/09/24 16:06:27.355, 1, 2722 MHz, 14001 MHz, 599.97 W, 66, 100 %, 2757 MiB
2026/09/24 16:06:28.356, 0, 435 MHz, 405 MHz, 26.09 W, 51, 1 %, 3198 MiB
2026/09/24 16:06:28.356, 1, 2722 MHz, 14001 MHz, 600.00 W, 67, 100 %, 2757 MiB
2026/09/24 16:06:29.362, 0, 480 MHz, 405 MHz, 33.05 W, 51, 1 %, 3196 MiB
2026/09/24 16:06:29.362, 1, 2722 MHz, 14001 MHz, 599.96 W, 67, 100 %, 2757 MiB
2026/09/24 16:06:30.363, 0, 50 MHz, 405 MHz, 38.19 W, 51, 1 %, 3196 MiB
2026/09/24 16:06:30.363, 1, 2722 MHz, 14001 MHz, 600.00 W, 67, 100 %, 2757 MiB
2026/09/24 16:06:31.369, 0, 42 MHz, 405 MHz, 31.12 W, 51, 1 %, 3197 MiB
2026/09/24 16:06:31.369, 1, 2722 MHz, 14001 MHz, 599.93 W, 67, 100 %, 2757 MiB
2026/09/24 16:06:32.371, 0, 50 MHz, 405 MHz, 24.07 W, 51, 2 %, 3236 MiB
2026/09/24 16:06:32.371, 1, 2722 MHz, 14001 MHz, 600.09 W, 67, 100 %, 2757 MiB
2026/09/24 16:06:33.373, 0, 54 MHz, 405 MHz, 31.69 W, 51, 2 %, 3236 MiB
2026/09/24 16:06:33.373, 1, 2722 MHz, 14001 MHz, 599.97 W, 66, 100 %, 2757 MiB
2026/09/24 16:06:34.376, 0, 49 MHz, 405 MHz, 27.10 W, 51, 1 %, 3236 MiB
2026/09/24 16:06:34.376, 1, 2722 MHz, 14001 MHz, 599.97 W, 67, 100 %, 2757 MiB
2026/09/24 16:06:35.378, 0, 49 MHz, 405 MHz, 25.04 W, 51, 2 %, 3234 MiB
2026/09/24 16:06:35.378, 1, 2722 MHz, 14001 MHz, 599.96 W, 67, 100 %, 2757 MiB
2026/09/24 16:06:36.385, 0, 577 MHz, 405 MHz, 27.66 W, 51, 2 %, 3234 MiB
2026/09/24 16:06:36.385, 1, 2722 MHz, 14001 MHz, 600.13 W, 67, 100 %, 2757 MiB
2026/09/24 16:06:37.388, 0, 45 MHz, 405 MHz, 24.30 W, 51, 1 %, 3224 MiB
2026/09/24 16:06:37.388, 1, 2752 MHz, 14001 MHz, 594.02 W, 64, 99 %, 2757 MiB
2026/09/24 16:06:38.397, 0, 44 MHz, 405 MHz, 23.80 W, 51, 1 %, 3217 MiB
2026/09/24 16:06:38.397, 1, 2715 MHz, 14001 MHz, 606.42 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:39.410, 0, 36 MHz, 405 MHz, 26.31 W, 51, 1 %, 3217 MiB
2026/09/24 16:06:39.410, 1, 2715 MHz, 14001 MHz, 600.07 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:40.412, 0, 307 MHz, 405 MHz, 22.24 W, 51, 1 %, 3208 MiB
2026/09/24 16:06:40.412, 1, 2715 MHz, 14001 MHz, 600.08 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:41.420, 0, 39 MHz, 405 MHz, 24.10 W, 51, 1 %, 3214 MiB
2026/09/24 16:06:41.420, 1, 2715 MHz, 14001 MHz, 600.00 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:42.425, 0, 65 MHz, 405 MHz, 23.44 W, 51, 2 %, 3215 MiB
2026/09/24 16:06:42.425, 1, 2715 MHz, 14001 MHz, 599.96 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:43.433, 0, 330 MHz, 405 MHz, 24.84 W, 51, 1 %, 3218 MiB
2026/09/24 16:06:43.433, 1, 2707 MHz, 14001 MHz, 599.90 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:44.447, 0, 45 MHz, 405 MHz, 22.59 W, 51, 1 %, 3209 MiB
2026/09/24 16:06:44.447, 1, 2715 MHz, 14001 MHz, 599.94 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:45.450, 0, 42 MHz, 405 MHz, 23.73 W, 51, 1 %, 3209 MiB
2026/09/24 16:06:45.450, 1, 2715 MHz, 14001 MHz, 600.07 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:46.451, 0, 47 MHz, 405 MHz, 23.10 W, 51, 1 %, 3208 MiB
2026/09/24 16:06:46.451, 1, 2715 MHz, 14001 MHz, 599.95 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:47.452, 0, 39 MHz, 405 MHz, 22.70 W, 51, 1 %, 3208 MiB
2026/09/24 16:06:47.452, 1, 2707 MHz, 14001 MHz, 599.95 W, 69, 100 %, 2757 MiB
2026/09/24 16:06:48.456, 0, 42 MHz, 405 MHz, 24.60 W, 51, 1 %, 3204 MiB
2026/09/24 16:06:48.456, 1, 2707 MHz, 14001 MHz, 599.99 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:49.460, 0, 28 MHz, 405 MHz, 23.71 W, 51, 1 %, 3204 MiB
2026/09/24 16:06:49.460, 1, 2707 MHz, 14001 MHz, 599.96 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:50.465, 0, 35 MHz, 405 MHz, 24.04 W, 51, 1 %, 3204 MiB
2026/09/24 16:06:50.465, 1, 2707 MHz, 14001 MHz, 600.25 W, 68, 100 %, 2757 MiB
