timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/23 22:45:56.772, 0, 622 MHz, 405 MHz, 28.10 W, 50, 13 %, 3213 MiB
2026/09/23 22:45:56.772, 1, 2782 MHz, 14001 MHz, 599.64 W, 69, 100 %, 396 MiB
2026/09/23 22:45:57.787, 0, 570 MHz, 405 MHz, 30.08 W, 50, 23 %, 3213 MiB
2026/09/23 22:45:57.787, 1, 2790 MHz, 14001 MHz, 599.98 W, 69, 100 %, 396 MiB
2026/09/23 22:45:58.789, 0, 525 MHz, 405 MHz, 31.65 W, 50, 15 %, 3213 MiB
2026/09/23 22:45:58.789, 1, 2790 MHz, 14001 MHz, 600.06 W, 69, 100 %, 396 MiB
2026/09/23 22:45:59.804, 0, 877 MHz, 405 MHz, 34.36 W, 50, 13 %, 3213 MiB
2026/09/23 22:45:59.804, 1, 2790 MHz, 14001 MHz, 599.83 W, 69, 100 %, 396 MiB
2026/09/23 22:46:00.818, 0, 802 MHz, 405 MHz, 35.35 W, 50, 21 %, 3213 MiB
2026/09/23 22:46:00.818, 1, 2790 MHz, 14001 MHz, 599.85 W, 69, 100 %, 396 MiB
2026/09/23 22:46:01.831, 0, 877 MHz, 405 MHz, 36.79 W, 50, 23 %, 3213 MiB
2026/09/23 22:46:01.831, 1, 2790 MHz, 14001 MHz, 599.91 W, 69, 100 %, 396 MiB
2026/09/23 22:46:02.832, 0, 667 MHz, 405 MHz, 32.56 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:02.832, 1, 2790 MHz, 14001 MHz, 600.24 W, 69, 100 %, 396 MiB
2026/09/23 22:46:03.844, 0, 517 MHz, 405 MHz, 32.66 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:03.844, 1, 2790 MHz, 14001 MHz, 599.75 W, 69, 100 %, 396 MiB
2026/09/23 22:46:04.859, 0, 645 MHz, 405 MHz, 34.42 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:04.859, 1, 2782 MHz, 14001 MHz, 600.35 W, 69, 100 %, 396 MiB
2026/09/23 22:46:05.868, 0, 65 MHz, 405 MHz, 33.19 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:05.868, 1, 2790 MHz, 14001 MHz, 599.76 W, 69, 100 %, 396 MiB
2026/09/23 22:46:06.881, 0, 73 MHz, 405 MHz, 31.88 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:06.881, 1, 2790 MHz, 14001 MHz, 599.86 W, 69, 100 %, 396 MiB
2026/09/23 22:46:07.891, 0, 89 MHz, 405 MHz, 33.09 W, 50, 13 %, 3213 MiB
2026/09/23 22:46:07.891, 1, 2790 MHz, 14001 MHz, 573.02 W, 60, 100 %, 18 MiB
2026/09/23 22:46:08.895, 0, 108 MHz, 405 MHz, 35.42 W, 50, 27 %, 3213 MiB
2026/09/23 22:46:08.895, 1, 2962 MHz, 14001 MHz, 117.70 W, 53, 0 %, 395 MiB
2026/09/23 22:46:09.911, 0, 113 MHz, 405 MHz, 36.56 W, 50, 7 %, 3213 MiB
2026/09/23 22:46:09.911, 1, 2970 MHz, 14001 MHz, 154.00 W, 64, 0 %, 395 MiB
2026/09/23 22:46:10.924, 0, 110 MHz, 405 MHz, 31.91 W, 50, 13 %, 3213 MiB
2026/09/23 22:46:10.924, 1, 2880 MHz, 14001 MHz, 603.11 W, 67, 96 %, 395 MiB
2026/09/23 22:46:11.934, 0, 795 MHz, 405 MHz, 32.54 W, 50, 29 %, 3213 MiB
2026/09/23 22:46:11.934, 1, 2872 MHz, 14001 MHz, 599.97 W, 67, 95 %, 395 MiB
2026/09/23 22:46:12.949, 0, 705 MHz, 405 MHz, 33.51 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:12.949, 1, 2820 MHz, 14001 MHz, 599.90 W, 69, 96 %, 395 MiB
2026/09/23 22:46:13.949, 0, 952 MHz, 405 MHz, 37.75 W, 50, 25 %, 3213 MiB
2026/09/23 22:46:13.949, 1, 2812 MHz, 14001 MHz, 599.73 W, 69, 94 %, 395 MiB
2026/09/23 22:46:14.950, 0, 862 MHz, 405 MHz, 36.42 W, 50, 21 %, 3213 MiB
2026/09/23 22:46:14.950, 1, 2812 MHz, 14001 MHz, 600.57 W, 69, 94 %, 395 MiB
2026/09/23 22:46:15.965, 0, 106 MHz, 405 MHz, 34.65 W, 50, 27 %, 3213 MiB
2026/09/23 22:46:15.965, 1, 2805 MHz, 14001 MHz, 599.60 W, 69, 94 %, 395 MiB
2026/09/23 22:46:16.970, 0, 645 MHz, 405 MHz, 28.72 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:16.970, 1, 2805 MHz, 14001 MHz, 600.60 W, 69, 94 %, 395 MiB
2026/09/23 22:46:17.986, 0, 82 MHz, 405 MHz, 31.97 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:17.986, 1, 2812 MHz, 14001 MHz, 599.59 W, 69, 94 %, 395 MiB
2026/09/23 22:46:19.001, 0, 750 MHz, 405 MHz, 30.92 W, 50, 22 %, 3213 MiB
2026/09/23 22:46:19.001, 1, 2805 MHz, 14001 MHz, 600.01 W, 69, 94 %, 395 MiB
2026/09/23 22:46:20.014, 0, 690 MHz, 405 MHz, 32.89 W, 50, 13 %, 3213 MiB
2026/09/23 22:46:20.014, 1, 2812 MHz, 14001 MHz, 600.43 W, 69, 95 %, 395 MiB
2026/09/23 22:46:21.020, 0, 832 MHz, 405 MHz, 34.10 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:21.020, 1, 2805 MHz, 14001 MHz, 600.01 W, 69, 95 %, 395 MiB
2026/09/23 22:46:22.024, 0, 907 MHz, 405 MHz, 31.55 W, 50, 27 %, 3213 MiB
2026/09/23 22:46:22.024, 1, 2812 MHz, 14001 MHz, 599.75 W, 69, 95 %, 395 MiB
2026/09/23 22:46:23.029, 0, 1027 MHz, 810 MHz, 36.33 W, 50, 43 %, 3213 MiB
2026/09/23 22:46:23.029, 1, 2812 MHz, 14001 MHz, 598.99 W, 69, 93 %, 395 MiB
2026/09/23 22:46:24.032, 0, 1335 MHz, 810 MHz, 43.21 W, 51, 14 %, 3213 MiB
2026/09/23 22:46:24.032, 1, 2812 MHz, 14001 MHz, 601.54 W, 69, 94 %, 395 MiB
2026/09/23 22:46:25.047, 0, 1042 MHz, 405 MHz, 38.13 W, 50, 25 %, 3213 MiB
2026/09/23 22:46:25.047, 1, 2805 MHz, 14001 MHz, 599.73 W, 69, 94 %, 395 MiB
2026/09/23 22:46:26.059, 0, 862 MHz, 405 MHz, 36.11 W, 50, 19 %, 3213 MiB
2026/09/23 22:46:26.059, 1, 2812 MHz, 14001 MHz, 599.84 W, 69, 94 %, 395 MiB
2026/09/23 22:46:27.072, 0, 780 MHz, 405 MHz, 34.50 W, 50, 21 %, 3213 MiB
2026/09/23 22:46:27.072, 1, 2812 MHz, 14001 MHz, 599.69 W, 69, 93 %, 395 MiB
2026/09/23 22:46:28.083, 0, 825 MHz, 405 MHz, 37.11 W, 50, 27 %, 3213 MiB
2026/09/23 22:46:28.083, 1, 2812 MHz, 14001 MHz, 600.42 W, 69, 94 %, 395 MiB
2026/09/23 22:46:29.096, 0, 802 MHz, 405 MHz, 36.73 W, 50, 26 %, 3213 MiB
2026/09/23 22:46:29.096, 1, 2805 MHz, 14001 MHz, 600.82 W, 69, 94 %, 395 MiB
2026/09/23 22:46:30.096, 0, 757 MHz, 405 MHz, 36.35 W, 50, 15 %, 3213 MiB
2026/09/23 22:46:30.096, 1, 2812 MHz, 14001 MHz, 598.82 W, 69, 93 %, 395 MiB
2026/09/23 22:46:31.112, 0, 73 MHz, 405 MHz, 33.47 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:31.112, 1, 2805 MHz, 14001 MHz, 600.58 W, 69, 94 %, 395 MiB
2026/09/23 22:46:32.127, 0, 65 MHz, 405 MHz, 31.61 W, 50, 14 %, 3213 MiB
2026/09/23 22:46:32.127, 1, 2962 MHz, 14001 MHz, 226.02 W, 54, 0 %, 18 MiB
2026/09/23 22:46:33.128, 0, 86 MHz, 405 MHz, 34.91 W, 50, 21 %, 3213 MiB
2026/09/23 22:46:33.128, 1, 2962 MHz, 14001 MHz, 130.32 W, 62, 71 %, 395 MiB
2026/09/23 22:46:34.143, 0, 102 MHz, 405 MHz, 35.99 W, 50, 27 %, 3213 MiB
2026/09/23 22:46:34.143, 1, 2857 MHz, 14001 MHz, 590.94 W, 67, 100 %, 395 MiB
2026/09/23 22:46:35.157, 0, 855 MHz, 405 MHz, 37.00 W, 50, 27 %, 3213 MiB
2026/09/23 22:46:35.157, 1, 2850 MHz, 14001 MHz, 599.84 W, 68, 100 %, 395 MiB
2026/09/23 22:46:36.171, 0, 885 MHz, 405 MHz, 36.96 W, 50, 27 %, 3213 MiB
2026/09/23 22:46:36.171, 1, 2790 MHz, 14001 MHz, 600.36 W, 69, 100 %, 395 MiB
2026/09/23 22:46:37.174, 0, 862 MHz, 405 MHz, 35.53 W, 50, 27 %, 3213 MiB
2026/09/23 22:46:37.174, 1, 2782 MHz, 14001 MHz, 599.95 W, 69, 100 %, 395 MiB
2026/09/23 22:46:38.175, 0, 73 MHz, 405 MHz, 26.39 W, 50, 0 %, 3213 MiB
2026/09/23 22:46:38.175, 1, 2782 MHz, 14001 MHz, 600.05 W, 69, 100 %, 395 MiB
2026/09/23 22:46:39.181, 0, 45 MHz, 405 MHz, 21.74 W, 50, 0 %, 3213 MiB
2026/09/23 22:46:39.181, 1, 2782 MHz, 14001 MHz, 599.95 W, 69, 100 %, 395 MiB
2026/09/23 22:46:40.183, 0, 34 MHz, 405 MHz, 21.27 W, 50, 0 %, 3213 MiB
2026/09/23 22:46:40.183, 1, 2775 MHz, 14001 MHz, 600.02 W, 69, 100 %, 395 MiB
2026/09/23 22:46:41.196, 0, 38 MHz, 405 MHz, 22.42 W, 50, 13 %, 3213 MiB
2026/09/23 22:46:41.196, 1, 2775 MHz, 14001 MHz, 599.67 W, 69, 100 %, 395 MiB
2026/09/23 22:46:42.199, 0, 31 MHz, 405 MHz, 22.55 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:42.199, 1, 2782 MHz, 14001 MHz, 599.93 W, 69, 100 %, 395 MiB
2026/09/23 22:46:43.201, 0, 32 MHz, 405 MHz, 20.91 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:43.201, 1, 2782 MHz, 14001 MHz, 600.30 W, 69, 100 %, 395 MiB
2026/09/23 22:46:44.213, 0, 32 MHz, 405 MHz, 21.50 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:44.213, 1, 2782 MHz, 14001 MHz, 599.93 W, 68, 100 %, 395 MiB
2026/09/23 22:46:45.220, 0, 34 MHz, 405 MHz, 21.36 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:45.220, 1, 2782 MHz, 14001 MHz, 600.11 W, 68, 100 %, 395 MiB
2026/09/23 22:46:46.228, 0, 32 MHz, 405 MHz, 21.38 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:46.228, 1, 2782 MHz, 14001 MHz, 599.86 W, 68, 100 %, 395 MiB
2026/09/23 22:46:47.238, 0, 30 MHz, 405 MHz, 21.82 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:47.238, 1, 2782 MHz, 14001 MHz, 599.96 W, 68, 100 %, 395 MiB
2026/09/23 22:46:48.250, 0, 29 MHz, 405 MHz, 21.28 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:48.250, 1, 2782 MHz, 14001 MHz, 599.69 W, 68, 100 %, 395 MiB
2026/09/23 22:46:49.265, 0, 29 MHz, 405 MHz, 21.55 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:49.265, 1, 2782 MHz, 14001 MHz, 600.21 W, 68, 100 %, 395 MiB
2026/09/23 22:46:50.275, 0, 35 MHz, 405 MHz, 21.63 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:50.275, 1, 2775 MHz, 14001 MHz, 599.73 W, 68, 100 %, 395 MiB
2026/09/23 22:46:51.285, 0, 32 MHz, 405 MHz, 21.46 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:51.285, 1, 2782 MHz, 14001 MHz, 599.89 W, 68, 100 %, 395 MiB
2026/09/23 22:46:52.294, 0, 35 MHz, 405 MHz, 21.70 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:52.294, 1, 2782 MHz, 14001 MHz, 600.11 W, 69, 100 %, 395 MiB
2026/09/23 22:46:53.306, 0, 35 MHz, 405 MHz, 21.68 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:53.306, 1, 2782 MHz, 14001 MHz, 600.61 W, 68, 100 %, 395 MiB
2026/09/23 22:46:54.319, 0, 32 MHz, 405 MHz, 20.42 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:54.319, 1, 2842 MHz, 14001 MHz, 457.13 W, 55, 0 %, 18 MiB
2026/09/23 22:46:55.333, 0, 32 MHz, 405 MHz, 19.08 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:55.333, 1, 2962 MHz, 14001 MHz, 95.70 W, 53, 0 %, 395 MiB
2026/09/23 22:46:56.341, 0, 32 MHz, 405 MHz, 21.71 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:56.341, 1, 2827 MHz, 14001 MHz, 436.18 W, 68, 94 %, 395 MiB
2026/09/23 22:46:57.353, 0, 34 MHz, 405 MHz, 22.77 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:57.353, 1, 2820 MHz, 14001 MHz, 599.71 W, 67, 93 %, 395 MiB
2026/09/23 22:46:58.367, 0, 33 MHz, 405 MHz, 23.51 W, 50, 6 %, 3213 MiB
2026/09/23 22:46:58.367, 1, 2812 MHz, 14001 MHz, 600.47 W, 68, 95 %, 395 MiB
2026/09/23 22:46:59.378, 0, 35 MHz, 405 MHz, 22.55 W, 50, 1 %, 3213 MiB
2026/09/23 22:46:59.378, 1, 2812 MHz, 14001 MHz, 599.07 W, 68, 94 %, 395 MiB
2026/09/23 22:47:00.379, 0, 32 MHz, 405 MHz, 21.70 W, 50, 3 %, 3213 MiB
2026/09/23 22:47:00.379, 1, 2812 MHz, 14001 MHz, 599.90 W, 69, 94 %, 395 MiB
2026/09/23 22:47:01.393, 0, 43 MHz, 405 MHz, 23.40 W, 50, 10 %, 3213 MiB
2026/09/23 22:47:01.393, 1, 2812 MHz, 14001 MHz, 599.22 W, 69, 94 %, 395 MiB
2026/09/23 22:47:02.405, 0, 39 MHz, 405 MHz, 23.86 W, 50, 3 %, 3213 MiB
2026/09/23 22:47:02.405, 1, 2812 MHz, 14001 MHz, 600.47 W, 69, 94 %, 395 MiB
2026/09/23 22:47:03.420, 0, 35 MHz, 405 MHz, 22.78 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:03.420, 1, 2812 MHz, 14001 MHz, 600.30 W, 69, 94 %, 395 MiB
2026/09/23 22:47:04.429, 0, 34 MHz, 405 MHz, 22.09 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:04.429, 1, 2812 MHz, 14001 MHz, 599.98 W, 69, 95 %, 395 MiB
2026/09/23 22:47:05.441, 0, 33 MHz, 405 MHz, 22.68 W, 50, 2 %, 3213 MiB
2026/09/23 22:47:05.441, 1, 2812 MHz, 14001 MHz, 599.35 W, 69, 94 %, 395 MiB
2026/09/23 22:47:06.450, 0, 36 MHz, 405 MHz, 22.40 W, 50, 3 %, 3213 MiB
2026/09/23 22:47:06.450, 1, 2812 MHz, 14001 MHz, 600.20 W, 69, 94 %, 395 MiB
2026/09/23 22:47:07.459, 0, 33 MHz, 405 MHz, 22.47 W, 50, 1 %, 3213 MiB
2026/09/23 22:47:07.459, 1, 2805 MHz, 14001 MHz, 599.80 W, 69, 95 %, 395 MiB
2026/09/23 22:47:08.473, 0, 32 MHz, 405 MHz, 21.69 W, 50, 1 %, 3213 MiB
2026/09/23 22:47:08.473, 1, 2812 MHz, 14001 MHz, 600.52 W, 69, 94 %, 395 MiB
2026/09/23 22:47:09.487, 0, 33 MHz, 405 MHz, 22.10 W, 50, 4 %, 3213 MiB
2026/09/23 22:47:09.487, 1, 2805 MHz, 14001 MHz, 600.34 W, 69, 95 %, 395 MiB
2026/09/23 22:47:10.495, 0, 35 MHz, 405 MHz, 22.81 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:10.495, 1, 2812 MHz, 14001 MHz, 599.54 W, 69, 95 %, 395 MiB
2026/09/23 22:47:11.510, 0, 37 MHz, 405 MHz, 22.93 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:11.510, 1, 2805 MHz, 14001 MHz, 600.18 W, 69, 95 %, 395 MiB
2026/09/23 22:47:12.524, 0, 37 MHz, 405 MHz, 22.69 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:12.524, 1, 2805 MHz, 14001 MHz, 599.81 W, 69, 95 %, 395 MiB
2026/09/23 22:47:13.535, 0, 33 MHz, 405 MHz, 22.85 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:13.535, 1, 2805 MHz, 14001 MHz, 600.40 W, 69, 95 %, 395 MiB
2026/09/23 22:47:14.545, 0, 36 MHz, 405 MHz, 21.99 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:14.545, 1, 2805 MHz, 14001 MHz, 599.72 W, 69, 95 %, 395 MiB
2026/09/23 22:47:15.558, 0, 28 MHz, 405 MHz, 22.02 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:15.558, 1, 2805 MHz, 14001 MHz, 599.81 W, 69, 95 %, 18 MiB
